CAUSES;REPAYMENTS;FREQ
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);PROJECT SCOPE CHANGE;1
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);REPAYMENT ACTIVITIES;1
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);TECHNOLOGY/TOOL/PLATFORM CHANGE;1
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);TIME EXTENSION;1
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);WELL-DEFINED PROCESS;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);REFACTORING;6
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);ADOPTION OF GOOD PRACTICES;3
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);EXTERNAL TOOLS;2
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);IMPROVE DESIGN;2
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);IMPROVE TESTING;2
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);BACKLOG INCLUSION;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);BUG FIXING;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);CI/CD;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);CODE REVIEWING;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);CONTINUOS LEARNING;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);CONTROL AND MONITORING;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);DEVOPS;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);EXTRA EFFORT;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);HIRING QUALIFIED PROFESSIONALS;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);IMPROVE DOCUMENTATION;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);IMPROVEMENT IN REQUIREMENT ELICITATION;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);MANAGEMENT ACTIONS;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);PRIORITIZATION;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);REPAYMENT ACTIVITIES;1
5. LACK OF QUAL. PROFESSIONALS (Paid: 31.4%);SYSTEM RETIREMENT;1
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);REFACTORING;6
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);BUDGET INCREASE;2
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);IMPROVE DOCUMENTATION;2
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);IMPROVE TESTING;2
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);MANAGEMENT ACTIONS;2
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);TIME EXTENSION;2
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);ADOPTION OF GOOD PRACTICES;1
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);CODE REVIEWING;1
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);EXTERNAL TOOLS;1
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);EXTRA EFFORT;1
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);IMPROVE DESIGN;1
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);PROJECT SCOPE CHANGE;1
6. INACCURATE TIME ESTIMATE (Paid: 33.3%);TECHNOLOGY/TOOL/PLATFORM CHANGE;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);REFACTORING;11
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);ADOPTION OF GOOD PRACTICES;3
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);APPROACHING THE CLIENT WITH THE DEVELOPMENT TEAM;2
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);EXTERNAL TOOLS;2
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);IMPROVE TESTING;2
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);IMPROVEMENT IN REQUIREMENT ELICITATION;2
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);PRIORITIZATION;2
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);ARCHITECTURAL CHANGES;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);BACKLOG INCLUSION;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);BUDGET INCREASE;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);CI/CD;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);CODE REVIEWING;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);CONTINUOS LEARNING;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);CONTINUOUS IMPROVEMENT OF APPLICATIONS;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);DEFINITION OF SPRINTS FOR THE PAYMENT OF DT;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);DEVOPS;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);DIVISION OF WORK LOTS;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);EXTRA EFFORT;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);IMPROVE DESIGN;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);MANAGEMENT ACTIONS;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);REPAYMENT ACTIVITIES;1
7. NON-ADOPTION OF GOOD PRACTICES (Paid: 55.3%);WELL-DEFINED PROCESS;1
8. LACK OF EXPERIENCE (Paid: 42.9%);REFACTORING;4
8. LACK OF EXPERIENCE (Paid: 42.9%);IMPROVE TESTING;2
8. LACK OF EXPERIENCE (Paid: 42.9%);ADOPTION OF GOOD PRACTICES;1
8. LACK OF EXPERIENCE (Paid: 42.9%);EXTRA EFFORT;1
8. LACK OF EXPERIENCE (Paid: 42.9%);IMPROVE DESIGN;1
8. LACK OF EXPERIENCE (Paid: 42.9%);PRIORITIZATION;1
8. LACK OF EXPERIENCE (Paid: 42.9%);PROJECT SCOPE CHANGE;1
8. LACK OF EXPERIENCE (Paid: 42.9%);SYSTEM RETIREMENT;1
9. LACK OF TECHNICAL KNOWLEDGE (Paid: 30.3%);REFACTORING;2
9. LACK OF TECHNICAL KNOWLEDGE (Paid: 30.3%);APPROACHING THE CLIENT WITH THE DEVELOPMENT TEAM;1
9. LACK OF TECHNICAL KNOWLEDGE (Paid: 30.3%);ARCHITECTURAL CHANGES;1
9. LACK OF TECHNICAL KNOWLEDGE (Paid: 30.3%);CONTINUOS LEARNING;1
9. LACK OF TECHNICAL KNOWLEDGE (Paid: 30.3%);CONTINUOUS IMPROVEMENT OF APPLICATIONS;1
9. LACK OF TECHNICAL KNOWLEDGE (Paid: 30.3%);ORGANISATION OF THE PROJECT REPOSITORY;1
9. LACK OF TECHNICAL KNOWLEDGE (Paid: 30.3%);PRIORITIZATION;1
9. LACK OF TECHNICAL KNOWLEDGE (Paid: 30.3%);PROJECT SCOPE CHANGE;1
9. LACK OF TECHNICAL KNOWLEDGE (Paid: 30.3%);STARTING THE PROJECT FROM SCRATCH;1
