INVESTING EFFORT ON TD PAYMENT ACTIVITIES;REPAYMENT ACTIVITIES
PAY OFF TD ITEMS;REPAYMENT ACTIVITIES
REPAYMENT ACTIVITIES;REPAYMENT ACTIVITIES
REPAYMENT CAMPAINGS;REPAYMENT ACTIVITIES
RESOLVING CODE SMELL;REFACTORING
RESTORE LOST DATA FROM BACKUP;RESTORE LOST DATA FROM BACKUP
SIDE PROJECT;SIDE PROJECT
SOLVING PROBLEMS RELATED TO SECURITY;SOLVING PROBLEMS RELATED TO SECURITY
SPLITTING GOD OBJECT;REFACTORING
STARTING THE PROJECT FROM SCRATCH;STARTING THE PROJECT FROM SCRATCH
STOP ACTIVITIES TO PAY THE DEBT OFF;REPAYMENT ACTIVITIES
SWITCHING SOFTWARE SOLUTIONS;SWITCHING SOFTWARE SOLUTIONS
SYSTEM RETIREMENT;SYSTEM RETIREMENT
TEAM COLLABORATION;TEAM COLLABORATION
TECHNOLOGY INDEPENDENT IMPLEMENTATION;TECHNOLOGY INDEPENDENT IMPLEMENTATION
IMPLEMENTING REQUIRED TECHNOLOGY;TECHNOLOGY/TOOL/PLATFORM CHANGE
TECHNOLOGY/TOOL/PLATFORM CHANGE;TECHNOLOGY/TOOL/PLATFORM CHANGE
USING NEW TECHNOLOGY;TECHNOLOGY/TOOL/PLATFORM CHANGE
TIME EXTENSION;TIME EXTENSION
TO MAKE DEFECT FREE SYSTEM;TO MAKE DEFECT FREE SYSTEM
TRAINING;CONTINUOS LEARNING
USE OF MODELS;USE OF MODELS
USE OF SHORT FEEDBACK CYCLES;WELL-DEFINED PROCESS
WELL-DEFINED PROCESS;WELL-DEFINED PROCESS
IMPROVE DESIGN;IMPROVE DESIGN
